out_acc_num,net_worth,credit_score,sum_transactionamount,ratio_cash_deposits,ratio_cash_withdrawals,ratio_incoming_international,ratio_outgoing_international,label
1,0.9998,2,58000,0.0957,0.4697,0.3365,0.5927,1
2,0.0242,4,373682,0.742,0.2666,0.0204,0.918,0
3,0.0215,6,226381,0.2854,0.7855,0.1307,0.715,1
4,0.2916,3,437811,0.2613,0.0883,0.73,0.6111,0
5,0.7485,1,107788,0.2868,0.9698,0.6039,0.0925,0
6,0.9222,7,404192,0.2492,0.1252,0.94,0.2398,0
7,0.6504,4,243315,0.4637,0.6992,0.2183,0.897,0
8,0.0674,2,205392,0.5473,0.6299,0.3158,0.1163,1
9,0.4413,7,97576,0.4138,0.2658,0.4303,0.123,1
10,0.5347,6,113712,0.3378,0.6454,0.6038,0.6277,1
11,0.4346,5,217895,0.9524,0.3394,0.4929,0.7884,1
12,0.9921,10,35157,0.236,0.7306,0.1676,0.3177,1
13,0.0922,8,51576,0.1457,0.177,0.2293,0.1705,1
14,0.0349,8,396752,0.9644,0.4903,0.2262,0.6415,1
15,0.1118,3,197604,0.9375,0.9464,0.1165,0.3017,0
16,0.9655,10,243405,0.1667,0.3566,0.0632,0.3079,0
17,0.1175,7,82967,0.6653,0.5761,0.6549,0.1363,1
18,0.7476,1,266677,0.7814,0.551,0.8289,0.5598,1
19,0.5465,4,274184,0.1565,0.032,0.2645,0.3025,1
20,0.3368,6,379802,0.5293,0.7216,0.0258,0.6196,1
21,0.6461,3,193672,0.3276,0.5423,0.889,0.5893,1
22,0.3215,9,244323,0.3048,0.998,0.531,0.1026,1
23,0.2643,10,492497,0.2616,0.5041,0.0182,0.6396,0
24,0.9245,2,362481,0.3211,0.2732,0.6016,0.9133,1
25,0.9996,8,271430,0.1572,0.0356,0.9607,0.1568,0
26,0.6328,10,369763,0.188,0.9695,0.6924,0.8561,1
27,0.1188,8,139691,0.5342,0.2859,0.2569,0.5418,0
28,0.1802,4,41385,0.8057,0.3121,0.2057,0.9275,0
29,0.342,9,267066,0.0781,0.4997,0.5472,0.7556,1
30,0.1679,9,212391,0.5539,0.8672,0.4768,0.8617,1
31,0.4457,8,322033,0.9148,0.364,0.2015,0.4972,0
32,0.1887,2,484447,0.6159,0.3026,0.2149,0.4333,0
33,0.1023,10,238342,0.0512,0.9778,0.4554,0.2115,1
34,0.4134,8,440198,0.6835,0.7107,0.359,0.8068,1
35,0.2543,3,470929,0.0252,0.5791,0.9627,0.1117,1
36,0.0029,8,275316,0.0025,0.7838,0.1025,0.6905,1
37,0.3047,5,383601,0.1621,0.3552,0.6951,0.5786,0
38,0.8144,3,57537,0.8825,0.5098,0.8413,0.8917,0
39,0.1047,7,173011,0.0813,0.8575,0.0746,0.6951,1
40,0.6404,6,386391,0.5209,0.2461,0.571,0.2678,0
41,0.5454,2,480202,0.1701,0.1366,0.7751,0.5837,0
42,0.4364,9,414734,0.3817,0.4731,0.8769,0.1236,0
43,0.1846,4,263423,0.6907,0.0843,0.5272,0.7095,1
44,0.3755,6,389761,0.7441,0.0884,0.9091,0.6799,1
45,0.0718,6,407168,0.0055,0.144,0.3745,0.8636,1
46,0.3249,8,261494,0.5965,0.9116,0.1359,0.8419,1
47,0.0729,4,306597,0.651,0.6392,0.1702,0.7089,1
48,0.3719,9,242729,0.5679,0.7568,0.7181,0.4413,0
49,0.5041,9,35393,0.0259,0.1425,0.4735,0.2361,0
50,0.2426,2,444247,0.8049,0.1402,0.082,0.3058,0
51,0.3382,2,383377,0.7055,0.3401,0.8495,0.1826,0
52,0.7827,4,75625,0.1935,0.9248,0.5883,0.7944,0
53,0.9929,3,84922,0.5986,0.688,0.3821,0.9143,0
54,0.6054,5,423455,0.6672,0.7233,0.705,0.0787,1
55,0.0653,4,335792,0.6191,0.4293,0.0364,0.532,1
56,0.4411,6,328938,0.2291,0.281,0.4539,0.3894,0
57,0.0438,1,348340,0.4157,0.3396,0.7882,0.7908,0
58,0.0435,1,47073,0.7709,0.7712,0.444,0.9763,1
59,0.1231,9,337332,0.3723,0.7593,0.97,0.4066,0
60,0.0447,8,177396,0.6595,0.5715,0.0636,0.8682,1
61,0.4546,4,402665,0.8204,0.0939,0.3383,0.5706,0
62,0.6223,9,297238,0.6771,0.545,0.0324,0.7605,1
63,0.0191,5,88035,0.8491,0.8752,0.9299,0.3935,1
64,0.2477,3,201695,0.3565,0.8721,0.9373,0.4727,1
65,0.9785,10,441936,0.7302,0.1225,0.7775,0.1692,1
66,0.2675,6,259776,0.3145,0.2387,0.815,0.2595,0
67,0.5201,8,425144,0.7788,0.2667,0.2044,0.8453,0
68,0.5802,1,166747,0.585,0.8339,0.16,0.1808,1
69,0.0307,10,169464,0.3506,0.9369,0.0974,0.4002,0
70,0.1185,10,108919,0.1558,0.4754,0.6239,0.0115,0
71,0.8208,9,347629,0.5943,0.8951,0.5998,0.2164,0
72,0.4391,3,55743,0.1236,0.8488,0.199,0.5185,0
73,0.1509,6,452447,0.6713,0.3061,0.8854,0.3458,1
74,0.4339,4,269838,0.6347,0.3555,0.6138,0.7613,1
75,0.5138,3,430481,0.1219,0.1217,0.3928,0.3687,0
76,0.3915,8,273960,0.8491,0.4079,0.2189,0.9589,1
77,0.5447,7,464191,0.0395,0.7168,0.1527,0.2041,0
78,0.9956,3,142570,0.9673,0.0773,0.3071,0.9641,0
79,0.6436,10,388160,0.2311,0.577,0.0722,0.8301,0
80,0.3684,5,393908,0.7643,0.5301,0.2746,0.2835,0
81,0.2043,5,96025,0.1686,0.4221,0.0919,0.1557,1
82,0.4796,4,225754,0.6093,0.3976,0.3552,0.9467,1
83,0.6118,1,79075,0.8297,0.4978,0.7877,0.7187,1
84,0.3512,1,154902,0.6984,0.0705,0.7425,0.4902,1
85,0.3171,9,424097,0.892,0.27,0.7565,0.7195,0
86,0.4363,8,77093,0.726,0.7713,0.6844,0.3321,1
87,0.5526,6,79058,0.9545,0.4073,0.8041,0.5705,1
88,0.3481,8,128120,0.39,0.443,0.7719,0.9687,1
89,0.4729,9,189037,0.7986,0.6403,0.1283,0.3906,0
90,0.5328,8,141160,0.5251,0.1998,0.9728,0.7988,0
91,0.7659,6,460832,0.7363,0.7612,0.6578,0.242,1
92,0.213,4,187912,0.4393,0.569,0.5421,0.2142,1
93,0.9629,7,220570,0.1299,0.8047,0.3012,0.2444,1
94,0.311,2,279663,0.2621,0.618,0.5664,0.3098,1
95,0.3091,1,132965,0.5664,0.6244,0.3539,0.9591,1
96,0.8155,5,282403,0.4545,0.371,0.9647,0.1486,0
97,0.9351,2,424245,0.4344,0.7879,0.4065,0.6626,0
98,0.0887,5,392043,0.5587,0.0409,0.1643,0.1231,1
99,0.6419,3,99553,0.645,0.4928,0.44,0.2549,0
100,0.9542,7,356651,0.4363,0.9927,0.2966,0.1137,0
101,0.7737,9,105624,0.177,0.6195,0.8391,0.2996,1
102,0.4805,5,193757,0.1181,0.983,0.6058,0.3994,1
103,0.8468,2,298852,0.7069,0.7255,0.7185,0.6651,0
104,0.4978,2,139939,0.4355,0.4555,0.0653,0.9689,1
105,0.5226,9,206535,0.6231,0.5019,0.3387,0.6494,0
106,0.4782,8,350127,0.1148,0.2888,0.7602,0.2313,1
107,0.4633,8,279305,0.0632,0.546,0.0251,0.5683,1
108,0.4531,10,488486,0.6146,0.3025,0.5012,0.0526,1
109,0.3931,9,327955,0.3377,0.2258,0.3824,0.0395,1
110,0.7583,10,201773,0.6676,0.8962,0.8283,0.6454,1
111,0.4932,5,129904,0.6434,0.2327,0.5421,0.5726,0
112,0.8344,3,341615,0.071,0.0524,0.8969,0.3103,0
113,0.8173,10,478061,0.8689,0.0146,0.6362,0.1408,0
114,0.6979,9,354702,0.6144,0.8778,0.4131,0.3271,0
115,0.635,1,236102,0.3494,0.9579,0.6901,0.9626,1
116,0.2264,6,301804,0.1141,0.3497,0.8445,0.5189,1
117,0.5372,2,450621,0.5049,0.2192,0.4137,0.063,0
118,0.2689,6,107732,0.643,0.6258,0.3165,0.6196,1
119,0.1013,7,198953,0.5071,0.818,0.3504,0.1458,1
120,0.862,10,142119,0.6277,0.3206,0.1378,0.3078,0
121,0.5233,8,456090,0.2003,0.4581,0.1008,0.2751,1
122,0.0748,10,187361,0.1157,0.1951,0.1143,0.1286,0
123,0.3976,3,493953,0.8319,0.7181,0.2613,0.4098,0
124,0.7089,1,234207,0.0698,0.3219,0.7549,0.4908,0
125,0.6743,3,288350,0.5028,0.4966,0.9806,0.0809,0
126,0.9265,7,283829,0.2978,0.2224,0.1574,0.8202,1
127,0.7516,6,292544,0.1113,0.366,0.6478,0.589,0
128,0.788,6,254909,0.1656,0.1998,0.1336,0.6696,1
129,0.9339,7,67854,0.9839,0.3825,0.3754,0.1063,0
130,0.9631,4,211505,0.1609,0.8799,0.9023,0.9482,0
131,0.4231,5,117567,0.8041,0.2594,0.1954,0.9088,0
132,0.7137,4,357492,0.2044,0.5337,0.5801,0.4995,1
133,0.6291,1,393815,0.6633,0.055,0.6008,0.7257,1
134,0.027,5,305390,0.6289,0.6613,0.3767,0.5612,1
135,0.4349,2,109715,0.9794,0.9753,0.1585,0.2164,1
136,0.2571,1,116051,0.0504,0.1986,0.2621,0.2992,1
137,0.088,7,356190,0.7371,0.6116,0.6228,0.4656,0
138,0.2507,8,244353,0.1728,0.9621,0.8531,0.1797,0
139,0.8963,3,88118,0.0786,0.4892,0.5365,0.0878,0
140,0.7904,1,398857,0.7727,0.8875,0.2344,0.443,1
141,0.301,10,83655,0.74,0.414,0.0066,0.0568,0
142,0.0447,1,498190,0.5382,0.0274,0.2996,0.8135,1
143,0.31,9,496755,0.1309,0.5877,0.3269,0.3872,1
144,0.0117,5,56646,0.3593,0.5598,0.0145,0.5002,0
145,0.8705,7,418853,0.8809,0.537,0.0326,0.9539,0
146,0.3197,4,53066,0.7874,0.0883,0.2161,0.025,1
147,0.473,7,452373,0.3296,0.084,0.668,0.5868,1
148,0.8569,1,170724,0.3317,0.8384,0.0742,0.6257,0
149,0.9316,10,411383,0.3779,0.2814,0.737,0.0648,0
150,0.2922,7,164152,0.5577,0.1055,0.881,0.5705,0
151,0.7445,6,320425,0.6335,0.6225,0.9009,0.4807,1
152,0.8543,9,243854,0.4106,0.8277,0.5101,0.4922,0
153,0.2746,3,81353,0.2628,0.5906,0.7178,0.6641,0
154,0.8289,3,215212,0.1055,0.2889,0.4141,0.7063,1
155,0.6253,7,454011,0.6335,0.1082,0.2588,0.8608,0
156,0.7325,4,198484,0.9763,0.7287,0.1033,0.9576,0
157,0.4574,6,419152,0.3256,0.4801,0.987,0.9733,1
158,0.4791,1,135776,0.8839,0.0143,0.6745,0.0543,0
159,0.0329,1,89637,0.257,0.0826,0.0606,0.9319,1
160,0.7379,1,491476,0.3476,0.5557,0.6373,0.0507,0
161,0.2866,3,378851,0.8357,0.8244,0.6365,0.6947,0
162,0.2108,4,136613,0.7193,0.5895,0.6454,0.791,1
163,0.395,1,61548,0.547,0.2505,0.7654,0.8285,0
164,0.736,4,455193,0.5178,0.0411,0.4709,0.054,0
165,0.4778,2,201288,0.8468,0.971,0.3682,0.6738,0
166,0.1009,10,122077,0.7102,0.5887,0.2696,0.1645,1
