out_acc_num,no_of_in,distinct_no_of_in,sumin,net_worth,credit_score,ratio_cash_deposits,ratio_cash_withdrawals,ratio_incoming_international,ratio_outgoing_international,label
1,10,2,291993,0.7672,8,0.7285,0.5035,0.5533,0.7245,0
2,11,5,160440,0.8397,7,0.7852,0.6947,0.0132,0.6847,0
3,14,4,269870,0.6113,2,0.1153,0.5038,0.0342,0.4269,0
4,7,4,461075,0.998,6,0.0107,0.8458,0.6244,0.9262,1
5,10,7,232690,0.8831,4,0.1699,0.4444,0.9023,0.7969,0
6,10,10,146058,0.3893,9,0.5826,0.483,0.3307,0.5122,1
7,15,8,209028,0.1338,10,0.0045,0.9484,0.6377,0.7676,1
8,3,9,61214,0.2614,1,0.0315,0.2934,0.2094,0.0446,0
9,7,2,96875,0.0982,8,0.6837,0.2556,0.8386,0.0495,1
10,14,4,217618,0.3442,8,0.6169,0.3934,0.2186,0.6003,0
11,3,9,55048,0.6667,7,0.4236,0.6053,0.4451,0.8907,0
12,7,7,271815,0.0246,9,0.3754,0.4319,0.0533,0.7876,0
13,13,4,407371,0.1115,10,0.3222,0.6566,0.4134,0.2891,1
14,10,12,223381,0.944,8,0.0646,0.3273,0.949,0.1166,1
15,11,10,439618,0.7678,1,0.9029,0.9294,0.0722,0.4469,1
16,2,6,396600,0.6323,1,0.0466,0.9183,0.6866,0.5081,0
17,11,5,160616,0.7936,9,0.0766,0.6977,0.9228,0.2195,0
18,13,1,352026,0.8233,4,0.1337,0.4499,0.9769,0.9929,0
19,6,4,353668,0.3139,8,0.4664,0.3039,0.8532,0.2907,0
20,7,8,447021,0.5761,9,0.0884,0.0639,0.2244,0.3252,1
21,1,13,51492,0.0798,4,0.4332,0.3417,0.757,0.4267,0
22,13,4,366023,0.4524,9,0.8571,0.6666,0.9746,0.5548,1
23,7,4,378045,0.0924,7,0.9754,0.4046,0.102,0.3316,1
24,14,11,418293,0.371,3,0.867,0.7309,0.2175,0.2649,1
25,13,6,140702,0.713,9,0.2446,0.2781,0.9512,0.6297,1
26,2,3,261979,0.5872,10,0.2469,0.9302,0.4183,0.5702,0
27,6,9,152926,0.0306,1,0.8097,0.9403,0.0673,0.2863,0
28,3,3,353148,0.9843,4,0.7591,0.5022,0.6853,0.0721,0
29,3,7,467343,0.2113,3,0.161,0.305,0.9567,0.0792,1
30,14,13,31843,0.9578,7,0.8536,0.599,0.8183,0.6031,0
31,11,3,405911,0.1947,4,0.8883,0.4302,0.8712,0.1799,0
32,11,7,217567,0.3799,3,0.8074,0.7717,0.4257,0.235,1
33,4,10,341555,0.5848,8,0.3414,0.7745,0.5355,0.5645,0
34,8,13,128577,0.7971,3,0.9172,0.0416,0.5569,0.341,0
35,10,6,276974,0.3503,2,0.7542,0.034,0.8939,0.375,1
36,13,9,138579,0.4631,2,0.3284,0.1902,0.7256,0.6004,1
37,4,13,77604,0.0014,9,0.6626,0.8699,0.7394,0.1307,1
38,8,2,291547,0.2335,2,0.8336,0.9588,0.4586,0.2457,1
39,9,9,392104,0.3101,9,0.1407,0.242,0.1678,0.522,1
40,10,11,327255,0.8386,7,0.1504,0.5618,0.8189,0.7715,0
41,12,6,236567,0.3404,9,0.2425,0.4113,0.696,0.2368,1
42,3,6,357940,0.0824,10,0.5711,0.5307,0.7302,0.6999,0
43,15,13,314421,0.9802,10,0.4002,0.8939,0.0308,0.1367,0
44,3,6,457409,0.7833,2,0.2454,0.8296,0.8422,0.6892,1
45,9,4,350026,0.045,8,0.3645,0.6959,0.8016,0.1019,0
46,4,13,47957,0.7985,4,0.2344,0.4052,0.4006,0.3563,1
47,2,1,450791,0.0443,8,0.8513,0.8323,0.467,0.1879,1
48,1,3,30261,0.9003,1,0.9264,0.4717,0.8176,0.956,0
49,14,4,42032,0.1962,2,0.5555,0.6086,0.5291,0.2157,1
50,9,4,266380,0.1471,9,0.917,0.9811,0.4366,0.2984,0
51,15,4,434459,0.2376,7,0.6004,0.5562,0.0189,0.5094,0
52,2,1,246906,0.3572,5,0.0242,0.7776,0.3207,0.0259,0
53,1,5,394171,0.6423,10,0.9702,0.9933,0.0577,0.3821,0
54,1,4,441363,0.1315,2,0.0514,0.9537,0.4529,0.4551,1
55,7,3,488098,0.2513,2,0.7115,0.135,0.2124,0.8606,1
56,1,11,176560,0.5951,7,0.2808,0.8495,0.8463,0.335,0
57,1,8,219258,0.9297,9,0.8331,0.7822,0.6945,0.4021,1
58,1,12,430083,0.9242,8,0.9978,0.1053,0.6761,0.5177,0
59,3,9,193933,0.6229,2,0.3065,0.8699,0.7738,0.0808,0
60,2,4,418118,0.9738,5,0.6896,0.2784,0.6226,0.4525,0
61,1,3,336675,0.2746,5,0.2409,0.2231,0.3415,0.9456,0
62,3,7,437765,0.8976,1,0.9419,0.0585,0.467,0.1366,0
63,4,13,151852,0.2047,10,0.1141,0.9004,0.8054,0.3672,0
64,8,6,33835,0.3709,4,0.7331,0.6796,0.2144,0.447,0
65,13,13,368905,0.9628,2,0.7093,0.8908,0.5457,0.0711,0
66,10,7,412558,0.4652,10,0.3585,0.7615,0.4601,0.2869,1
67,2,3,258807,0.7599,6,0.0541,0.5688,0.378,0.4564,1
68,14,2,86172,0.2476,5,0.7227,0.5449,0.2957,0.8734,1
69,2,10,69171,0.1084,9,0.2634,0.159,0.0439,0.1306,1
70,13,3,466564,0.284,6,0.9181,0.7417,0.373,0.2279,1
71,4,13,182149,0.4412,8,0.0436,0.9325,0.9072,0.5539,0
72,6,12,362571,0.9291,8,0.4738,0.6118,0.2767,0.3238,0
73,7,7,341760,0.3033,4,0.9554,0.4921,0.9552,0.4487,0
74,8,9,204719,0.6572,8,0.635,0.6859,0.1679,0.6604,1
75,5,10,472484,0.5209,4,0.8004,0.1411,0.376,0.0378,1
76,15,11,199635,0.6725,7,0.0743,0.6053,0.5776,0.1655,1
77,8,1,173199,0.3715,6,0.9593,0.7349,0.1181,0.9101,0
78,14,7,421433,0.9077,10,0.1927,0.3022,0.0008,0.0012,0
79,2,2,188708,0.8841,10,0.4342,0.69,0.3953,0.0225,1
80,6,8,437071,0.8049,8,0.7305,0.3657,0.8858,0.8003,0
81,12,5,376713,0.6106,5,0.183,0.5721,0.4273,0.3669,1
82,13,10,348109,0.7751,8,0.904,0.3276,0.9227,0.7318,0
