out_acc_num,out_currency_amount,net_worth,credit_score,ratio_cash_deposits,ratio_cash_withdrawals,ratio_incoming_international,ratio_outgoing_international,label
1,39434,0.1397,2,0.441,0.103,0.4744,0.9796,true
2,17344,0.8903,10,0.4399,0.5337,0.4557,0.3971,true
3,19523,0.4281,1,0.0873,0.1727,0.6158,0.0156,true
4,17993,0.9194,8,0.0728,0.3573,0.6828,0.1854,false
5,13498,0.7521,9,0.1149,0.6935,0.6148,0.5025,true
6,11700,0.9887,9,0.5784,0.2197,0.4359,0.2862,true
7,16632,0.4876,8,0.4517,0.1584,0.1474,0.4427,true
8,11534,0.5781,4,0.6753,0.7582,0.1085,0.4508,true
9,17801,0.2961,7,0.6118,0.8592,0.1621,0.4301,false
10,28495,0.4486,3,0.5153,0.9911,0.4593,0.6698,true
11,24915,0.0398,1,0.5886,0.512,0.8968,0.2181,true
12,28033,0.8051,10,0.118,0.7255,0.2178,0.9976,false
13,15528,0.73,4,0.8189,0.8697,0.3438,0.0056,false
14,15703,0.977,7,0.2572,0.5567,0.8662,0.7444,false
15,32196,0.1758,4,0.2661,0.3914,0.4426,0.0371,false
16,17235,0.9972,8,0.7455,0.8458,0.4641,0.9691,true
17,13875,0.7801,10,0.5081,0.0558,0.7169,0.5119,false
18,33543,0.1389,8,0.926,0.5919,0.6851,0.4344,false
19,36861,0.4339,8,0.0933,0.9756,0.0571,0.352,true
20,19929,0.845,5,0.5305,0.2616,0.9929,0.2441,false
21,19629,0.5495,6,0.5325,0.5511,0.0822,0.0274,false
22,25841,0.181,6,0.8956,0.804,0.07,0.0459,true
23,36102,0.6017,2,0.8397,0.1171,0.8164,0.8073,true
24,35939,0.6665,1,0.8052,0.1074,0.5469,0.9347,false
25,35460,0.7642,8,0.5863,0.045,0.9743,0.0807,false
26,19324,0.2759,2,0.1173,0.1542,0.4227,0.9271,true
27,11858,0.768,10,0.1068,0.0824,0.8344,0.8247,true
28,35848,0.2119,3,0.3631,0.9519,0.7457,0.076,false
29,14743,0.4746,9,0.5988,0.9398,0.9846,0.8552,false
30,10959,0.5688,8,0.1886,0.6929,0.1127,0.3463,true
31,32619,0.3955,2,0.4447,0.0224,0.7531,0.2041,false
32,11973,0.369,9,0.9013,0.0975,0.636,0.6149,true
33,20471,0.2289,7,0.6143,0.4599,0.9346,0.0194,false
34,37972,0.8854,7,0.2054,0.018,0.8405,0.7955,true
35,28499,0.6681,3,0.7413,0.8456,0.2137,0.9998,true
36,17357,0.8771,4,0.3156,0.869,0.013,0.2516,true
37,17775,0.9763,8,0.0496,0.5731,0.1893,0.6792,false
38,24886,0.7899,2,0.5976,0.5242,0.2512,0.8009,true
39,18456,0.6381,3,0.0593,0.5112,0.204,0.075,true
40,10770,0.1491,8,0.2428,0.6197,0.0188,0.6644,true
41,11844,0.1907,4,0.9581,0.4695,0.6465,0.5026,true
42,26357,0.775,9,0.4043,0.6018,0.9807,0.1986,false
43,35016,0.4183,10,0.6607,0.262,0.3925,0.3234,true
44,13551,0.7431,10,0.4042,0.5356,0.6334,0.0255,true
45,10979,0.5914,1,0.8075,0.69,0.2438,0.6785,false
46,18326,0.499,3,0.8146,0.0665,0.1889,0.2773,false
47,34315,0.2876,3,0.214,0.3294,0.0205,0.2168,true
48,17897,0.2873,9,0.353,0.4006,0.0306,0.2534,true
49,34210,0.8369,9,0.6357,0.7634,0.5821,0.0885,true
50,30624,0.0103,9,0.485,0.3245,0.6615,0.2746,false
51,19764,0.0797,1,0.6964,0.3632,0.2878,0.4427,true
52,15534,0.6523,6,0.693,0.9202,0.3794,0.8193,true
53,38375,0.8627,5,0.0297,0.3348,0.7201,0.8399,false
54,26145,0.9784,8,0.6777,0.8043,0.4844,0.6555,false
55,10649,0.9975,7,0.8412,0.7443,0.497,0.9727,true
56,10078,0.7449,10,0.8313,0.1466,0.1462,0.5769,false
57,29774,0.7516,9,0.0004,0.3857,0.831,0.9526,true
58,39558,0.1985,2,0.7595,0.6476,0.8237,0.3539,true
59,33739,0.5551,5,0.1321,0.8463,0.0037,0.9462,false
60,29486,0.9613,3,0.3587,0.907,0.5445,0.5175,true
61,32566,0.1359,2,0.0129,0.9598,0.2075,0.0512,false
62,29160,0.584,5,0.2207,0.2671,0.0852,0.8039,true
63,32046,0.687,3,0.6975,0.3889,0.2739,0.3768,false
64,35090,0.8435,8,0.584,0.1548,0.0925,0.6775,true
65,14820,0.532,8,0.982,0.852,0.4664,0.6226,true
66,15585,0.928,9,0.0853,0.1934,0.2551,0.5269,false
67,32894,0.1953,2,0.866,0.1395,0.1634,0.7177,false
68,11154,0.817,7,0.9985,0.7586,0.6809,0.8401,false
69,24317,0.2823,10,0.9105,0.1773,0.9726,0.7674,true
70,22656,0.3352,2,0.0025,0.9705,0.8128,0.5184,false
71,37824,0.6703,1,0.7453,0.2098,0.6789,0.6225,false
72,30190,0.7821,10,0.6186,0.9494,0.2451,0.9178,false
73,33594,0.305,3,0.1786,0.8782,0.2691,0.8606,false
74,39467,0.3024,8,0.5177,0.3514,0.7013,0.583,false
75,38043,0.1571,8,0.8805,0.8164,0.0198,0.4913,true
76,29797,0.1491,4,0.5827,0.0933,0.0655,0.4411,false
77,25718,0.2571,1,0.1151,0.0625,0.2533,0.7041,false
78,30703,0.523,9,0.9269,0.3844,0.2887,0.3647,false
79,34418,0.3446,3,0.112,0.2705,0.3695,0.5214,false
80,16968,0.3886,2,0.914,0.667,0.5945,0.8041,true
81,20228,0.0235,10,0.8211,0.7133,0.2666,0.2236,false
82,24656,0.7675,1,0.8655,0.5277,0.5507,0.1388,false
83,21832,1.0,1,0.4575,0.8953,0.5964,0.081,false
84,18508,0.9369,1,0.736,0.774,0.9958,0.0395,true
85,39258,0.9589,6,0.1501,0.7112,0.9325,0.0328,true
86,28725,0.6587,9,0.8289,0.9442,0.9717,0.462,true
87,27870,0.2256,1,0.3584,0.7559,0.9491,0.0269,false
88,20093,0.6379,7,0.1261,0.5266,0.7187,0.6931,false
89,14569,0.4607,5,0.5072,0.4954,0.0196,0.9278,false
90,25342,0.3512,9,0.8529,0.0957,0.8458,0.8579,true
91,32882,0.6189,10,0.7813,0.0138,0.66,0.4158,false
