out_acc_num,in_currency_amount,net_worth,credit_score,ratio_cash_deposits,ratio_cash_withdrawals,ratio_incoming_international,ratio_outgoing_international,label
1,9590,0.2404,2,0.7819,0.4256,0.4258,0.6893,0
2,13914,0.7507,10,0.9309,0.338,0.2601,0.1712,1
3,17803,0.6183,2,0.308,0.5824,0.0669,0.4138,1
4,10677,0.0971,1,0.6952,0.6279,0.448,0.2992,1
5,15113,0.6379,4,0.087,0.389,0.4621,0.0282,1
6,14550,0.4074,4,0.1376,0.4659,0.3567,0.8212,0
7,14781,0.545,6,0.5648,0.1244,0.3773,0.6105,0
8,18504,0.7231,10,0.0973,0.3899,0.4101,0.6506,0
9,19706,0.1226,10,0.1646,0.1545,0.9638,0.5101,0
10,12135,0.8686,7,0.3447,0.5798,0.2761,0.5927,1
11,14884,0.3746,4,0.7156,0.4427,0.7282,0.6669,0
12,11476,0.0125,4,0.1264,0.04,0.3136,0.9411,0
13,15747,0.1243,9,0.9776,0.1323,0.4913,0.5231,1
14,9372,0.5946,8,0.8548,0.5586,0.918,0.4554,1
15,19818,0.9836,1,0.4952,0.7968,0.2376,0.6173,1
16,12931,0.8304,1,0.1915,0.1052,0.5028,0.7828,1
17,17754,0.8163,2,0.7522,0.7084,0.1927,0.7954,0
18,12007,0.1557,8,0.3705,0.3557,0.0763,0.7426,1
19,13694,0.7338,3,0.8248,0.6927,0.1169,0.7316,0
20,10735,0.3371,1,0.8743,0.3552,0.6345,0.6513,1
21,10707,0.3591,7,0.1112,0.8976,0.7403,0.1005,1
22,18254,0.7526,1,0.4529,0.1328,0.887,0.577,0
23,12706,0.8435,8,0.5437,0.3254,0.8469,0.3181,0
24,8211,0.6313,10,0.8484,0.0906,0.867,0.472,0
25,8074,0.0345,4,0.9418,0.2788,0.3231,0.8428,1
26,12120,0.0514,4,0.8564,0.1064,0.0849,0.1738,1
27,16269,0.6382,5,0.8501,0.0841,0.7779,0.2847,0
28,10776,0.7406,1,0.6437,0.1041,0.9491,0.2485,1
29,10532,0.0427,10,0.0511,0.6509,0.2619,0.9418,1
30,9138,0.7704,3,0.6586,0.097,0.9236,0.9157,1
31,15451,0.0942,6,0.406,0.4833,0.2323,0.5993,0
32,18619,0.1111,8,0.7119,0.7793,0.5559,0.4534,1
33,10734,0.2506,7,0.5069,0.997,0.0939,0.8905,0
34,11745,0.0263,9,0.9422,0.6118,0.737,0.197,1
35,9117,0.8064,9,0.5235,0.8429,0.2632,0.2424,1
36,14446,0.7875,8,0.4289,0.8048,0.5721,0.3202,0
37,14151,0.8079,10,0.5633,0.0258,0.9322,0.4292,0
38,18531,0.0665,7,0.0164,0.1578,0.6536,0.1198,1
39,13538,0.2398,5,0.6744,0.7993,0.7402,0.475,1
40,11248,0.9275,9,0.5514,0.3089,0.5492,0.5826,1
41,9598,0.8699,1,0.2791,0.4534,0.2923,0.6268,0
42,12157,0.6284,6,0.5979,0.9716,0.7773,0.5606,1
43,16122,0.105,9,0.3231,0.7941,0.835,0.4999,0
44,17249,0.4439,2,0.6786,0.5884,0.6679,0.4807,1
45,13161,0.4178,3,0.0309,0.2214,0.9739,0.2417,0
46,10854,0.1869,1,0.6925,0.2485,0.9463,0.7541,0
47,17240,0.4064,2,0.5981,0.376,0.5275,0.5958,0
48,19579,0.2113,10,0.8397,0.9161,0.1168,0.8275,0
49,9363,0.1869,6,0.3246,0.0459,0.4886,0.5015,0
50,18045,0.2533,7,0.8799,0.2038,0.084,0.9588,0
51,12949,0.7488,5,0.9562,0.5441,0.3441,0.5362,1
52,15548,0.3601,4,0.262,0.7991,0.6478,0.4103,0
53,13521,0.7344,4,0.0026,0.1776,0.1989,0.9455,1
54,9213,0.8995,7,0.1188,0.3489,0.256,0.6381,0
55,8594,0.2729,4,0.7521,0.8437,0.8596,0.7119,0
56,8892,0.1181,6,0.6822,0.9344,0.5753,0.2011,0
57,8831,0.3872,2,0.7003,0.4055,0.1117,0.332,0
58,17129,0.0767,9,0.6849,0.0133,0.9948,0.2691,1
59,10174,0.1994,8,0.807,0.0731,0.9753,0.0906,0
60,19968,0.8801,10,0.7036,0.9129,0.2945,0.4666,1
61,16066,0.6067,10,0.2486,0.7592,0.8763,0.0341,0
62,9386,0.6062,9,0.4748,0.4863,0.0471,0.4032,1
