,out_acc_num,label
0,1,Yes
1,2,No
2,3,No
3,4,Yes
4,5,Yes
5,6,Yes
6,7,No
7,8,Yes
8,9,Yes
9,10,No
10,11,Yes
11,12,No
12,13,Yes
13,14,No
14,15,No
15,16,No
16,17,No
17,18,Yes
18,19,No
19,20,No
20,21,No
21,22,Yes
22,23,Yes
23,24,Yes
24,25,No
25,26,No
26,27,No
27,28,No
28,29,No
29,30,No
30,31,No
31,32,Yes
32,33,Yes
33,34,No
34,35,Yes
35,36,Yes
36,37,No
37,38,Yes
38,39,No
39,40,No
40,41,Yes
41,42,No
42,43,Yes
43,44,No
44,45,No
45,46,Yes
46,47,No
47,48,Yes
48,49,No
49,50,No
50,51,No
51,52,Yes
52,53,Yes
53,54,Yes
54,55,Yes
55,56,No
56,57,No
57,58,No
58,59,Yes
59,60,Yes
60,61,No
61,62,No
62,63,No
63,64,Yes
64,65,Yes
65,66,No
66,67,No
67,68,Yes
68,69,Yes
69,70,Yes
70,71,Yes
71,72,Yes
72,73,No
73,74,No
74,75,Yes
75,76,No
76,77,Yes
77,78,Yes
78,79,No
79,80,Yes
80,81,Yes
81,82,Yes
82,83,Yes
83,84,No
84,85,Yes
85,86,Yes
86,87,Yes
87,88,Yes
88,89,No
89,90,No
90,91,No
91,92,Yes
92,93,Yes
93,94,No
94,95,No
95,96,No
96,97,Yes
97,98,Yes
98,99,No
99,100,Yes
