,out_acc_num,label
0,2,Yes
1,4,Yes
2,5,Yes
3,6,Yes
4,7,Yes
5,8,No
6,9,Yes
7,10,No
8,11,No
9,12,Yes
10,13,No
11,14,No
12,15,Yes
13,16,Yes
14,17,Yes
15,18,Yes
16,19,No
17,20,Yes
18,21,Yes
19,22,No
20,23,No
21,24,No
22,25,No
23,26,Yes
24,27,No
25,28,No
26,30,No
27,31,Yes
28,32,No
29,33,No
30,34,Yes
31,35,Yes
32,36,No
33,37,No
34,38,Yes
35,39,No
36,40,No
37,41,No
38,42,No
39,43,No
40,44,No
41,45,No
42,46,Yes
43,47,No
44,48,Yes
45,49,Yes
46,50,Yes
47,51,Yes
48,52,No
49,53,No
50,54,No
51,55,Yes
52,56,Yes
53,57,Yes
54,58,No
55,59,Yes
56,60,Yes
57,61,No
58,62,No
59,63,No
60,64,Yes
61,65,Yes
62,66,Yes
63,67,No
64,68,No
65,69,Yes
66,70,Yes
67,71,No
68,72,Yes
69,73,Yes
70,74,Yes
71,75,No
72,76,Yes
73,77,Yes
74,78,Yes
75,79,No
76,80,Yes
77,81,No
78,82,Yes
79,83,No
80,84,No
81,85,Yes
82,86,No
83,87,Yes
84,88,No
85,89,Yes
86,90,No
87,91,Yes
88,92,No
89,93,No
90,94,No
91,95,No
92,96,No
93,97,Yes
94,98,Yes
95,99,No
96,100,Yes
