,out_acc_num,label
0,2,No
1,3,No
2,4,No
3,5,No
4,6,No
5,7,Yes
6,8,No
7,9,Yes
8,10,No
9,11,No
10,12,Yes
11,13,No
12,14,No
13,15,Yes
14,16,No
15,17,No
16,18,No
17,19,No
18,20,Yes
19,21,No
20,22,Yes
21,23,No
22,24,Yes
23,25,Yes
24,26,No
25,27,No
26,28,Yes
27,29,Yes
28,30,No
29,31,Yes
30,32,No
31,33,No
32,34,No
33,35,No
34,36,Yes
35,37,No
36,38,No
37,39,No
38,40,No
39,41,No
40,42,Yes
41,43,No
42,44,Yes
43,45,No
44,46,Yes
45,47,Yes
46,48,No
47,49,No
48,50,No
49,51,No
50,52,Yes
51,53,No
52,54,Yes
53,55,No
54,56,Yes
55,57,No
56,58,Yes
57,59,No
58,60,No
59,61,Yes
60,62,No
61,63,No
62,64,No
63,65,No
64,66,No
65,67,No
66,68,No
67,69,Yes
68,70,No
69,71,No
70,72,No
71,73,Yes
72,74,Yes
73,75,Yes
74,76,Yes
75,77,No
76,78,No
77,79,No
78,80,No
79,81,No
80,82,No
81,83,No
82,84,No
83,85,No
84,86,Yes
85,87,No
86,88,Yes
87,89,No
88,90,Yes
89,91,No
90,92,Yes
91,93,No
92,94,Yes
93,95,No
94,96,No
95,97,No
96,98,Yes
97,99,No
98,100,Yes
