,out_acc_num,label
0,4,Yes
1,4,Yes
2,7,Yes
3,7,Yes
4,8,Yes
5,8,Yes
6,9,Yes
7,9,Yes
8,9,Yes
9,20,Yes
10,36,Yes
11,36,Yes
12,39,Yes
13,45,Yes
14,46,Yes
15,55,Yes
16,56,Yes
17,65,Yes
18,67,Yes
19,74,Yes
20,78,Yes
21,83,Yes
22,86,Yes
23,86,Yes
24,86,Yes
25,92,Yes
26,94,Yes
27,94,Yes
28,94,Yes
29,96,Yes
30,4,Yes
31,4,Yes
32,7,Yes
33,7,Yes
34,8,Yes
35,8,Yes
36,9,Yes
37,9,Yes
38,9,Yes
39,20,Yes
40,36,Yes
41,36,Yes
42,39,Yes
43,45,Yes
44,46,Yes
45,55,Yes
46,56,Yes
47,65,Yes
48,67,Yes
49,74,Yes
50,78,Yes
51,83,Yes
52,84,Yes
53,86,Yes
54,86,Yes
55,86,Yes
56,92,Yes
57,94,Yes
58,94,Yes
59,94,Yes
60,96,Yes
61,99,Yes
